Disease,Count
Gastroenteritis,20453
Respiratory Tract Infection,10875
Feline Panleukopenia,8593
Acute Enteritis,8012
Conjunctivitis,7665
Canine Parvovirus Disease,7350
Bladder Stones,6802
Trauma/Injury,6519
Feline Calicivirus Infection,6382
Cystitis,6177
Coronavirus Infection,5711
Feline Lower Urinary Tract Syndrome (FLUTS),5658
Pneumonia,5561
Ear Mites,5434
Pancreatitis,5330
Bacterial Skin Diseases,5306
Feline Upper Respiratory Tract Infection Syndrome,5230
Allergic Dermatitis,4881
Mycoplasmosis,4724
Malassezia Otitis,4656
Urinary Incontinence,4144
Acute Gastritis,4046
Vomiting Under Investigation,3897
Feline Infectious Peritonitis (FIP),3650
Pyometra,3618
Fungal Dermatitis,3281
Canine Distemper,3050
Superficial Pyoderma,3026
Canine Coronavirus Infection,2995
Pyoderma,2995
Renal Anemia,2963
Corneal Ulcer,2941
Ringworm in Cats,2941
Bronchitis,2800
Chronic Diarrhea,2730
Feline Coronavirus Infection,2729
Feline Herpesvirus Infection,2724
Otitis Externa,2640
Hepatitis,2548
Hemorrhagic Gastroenteritis,2528
Coccidiosis,2527
Constipation,2516
Trichomoniasis,2475
Fungal Infection Diseases,2448
Chronic Renal Failure,2424
Cough Under Investigation,2371
Acute Renal Failure,2350
Bacterial and Fungal Otitis,2273
Feline Ringworm,2256
Stomatitis,2160
Bronchopneumonia,2140
Idiopathic Cystitis,2135
Diarrhea Under Investigation,2114
Acute Hemorrhagic Enteritis,2038
Colitis,2034
Patellar Dislocation,2003
Allergy,1977
Pulmonary Edema,1964
Bacterial Folliculitis,1953
Immune-Mediated Diseases,1952
Contact Allergic Dermatitis,1914
Kidney Stones,1882
Fever of Unknown Origin (FUO),1776
Dyspepsia,1751
Gastrointestinal Foreign Body,1739
Malassezia Dermatitis,1730
Bacterial Enteritis,1651
Interdigital Dermatitis,1623
Arthritis,1621
Gastritis,1541
Gingivitis,1503
Urethral Diseases,1434
Immunologically Mediated Diseases,1383
Common Cold,1381
Inflammatory Bowel Disease (IBD),1366
Hyperthermia,1364
Hydrometra,1349
Helicobacter Infection,1344
Foreign Body in the Stomach,1322
Acute Pancreatitis,1312
Tick Infection,1288
Dermatophytosis,1229
Otitis Media,1180
Cholestasis,1180
Gastrointestinal Bloating,1169
Gastrointestinal Motility Disorder,1167
Fatty Liver,1155
Cholecystitis,1146
Breast Tumor,1137
Ascariasis,1126
Flea Infestation,1119
Hypoglycemia,1107
Ascites,1073
Food Intolerance,1068
Hypertrophic Cardiomyopathy,1061
Hemoperitoneum,1051
Atopic Dermatitis,1024
Bordetella Infection,1018
Dermatomyositis,995
Dehydration,963
Feline Infectious Enteritis,938
Bacterial Dermatitis,930
Anal Gland Inflammation,919
Periodontitis,914
Rabies,914
Intestinal Obstruction,907
Subcutaneous Abscess,903
Staphylococcal Infection,901
Bite,898
Urinary Tract Infection (UTI),886
Urethral Calculi,883
Vomiting of Undetermined Cause,875
Pelvic Fracture,857
Giant Bacterial Infection,836
Pending Investigation of Jaundice,836
Urethral Obstruction,832
Femoral Fracture,830
Purulent Traumatic Dermatitis,825
Gastric Ulcer,821
Contusion,816
Endometritis,802
FSA,788
Subconjunctival Cyst,787
Irritable Bowel Syndrome (IBS),786
Nasolacrimal Duct Obstruction,782
Anorexia,776
Chronic Rhinitis,765
Leukocyte Disorders,765
Chronic Kidney Disease (CKD),751
Shock,742
Systemic Inflammatory Response Syndrome (SIRS),730
Giardia lamblia,723
Pericardial Diseases,720
Flea Bite Dermatitis,718
Hepatic insufficiency,713
Developmental Dysplasia of the Hip (DDH),705
Diabetes Mellitus,704
Transient Myocardial Hypertrophy,689
Anal Gland Rupture,687
Chlamydiosis,687
Campylobacteriosis,681
Intestinal Parasite Expulsion,670
Cough to be Investigated,670
Peritonitis,669
Auricular Hematoma,662
Lumbar Spine Fracture,657
Kidney Disease,637
Chronic Gastritis,637
Feline Rhinotracheitis,636
Liver failure,635
Penile Injury,635
Epilepsy,628
Heatstroke,625
Gastrointestinal Diseases,613
External Parasite Control,608
Thallium Poisoning,604
Dilated Cardiomyopathy,596
Acute Heart Failure,578
Tics to be Investigated,572
Vaccine Allergic Reaction,567
Excessive Bacterial Proliferation,564
Intervertebral Disc Spondylitis,559
Bacterial Cystitis,558
Pleural Effusion,551
Feline Gingivostomatitis (Feline Posterior Stomatitis),550
Scabies,542
SCC (Squamous Cell Carcinoma),539
Pulmonary Hemorrhage,534
Keratitis,530
Tibia and Fibula Fractures,529
Viral Infectious Diseases,527
Babesiosis,522
Pending Investigation of Vomiting,520
Spinal Stenosis,519
Canine Parainfluenza Virus Infection,518
Oral Mucosal Ulcer,513
Deep Pyoderma,506
Intestinal Parasite Control,501
Peripheral Neuropathy,497
Localized Demodicosis,491
Feline Panleukopenia (Feline Distemper),489
Feline Syncytium-Forming Virus Infection,488
Pericardial Disease,485
Bullous Pemphigoid,482
Teeth Cleaning,482
Bite Wound,479
Entropion,477
Scrotal Dermatitis,475
Mitral Regurgitation,475
Canine Herpesvirus Infection,473
Asthma,463
Postpartum Hypocalcemia,457
Hematuria to be Investigated,456
Anterior Uveitis,447
Lung Tumor,445
Limping to be Investigated,443
White Spot Disease,442
Tail Docking,434
Cutaneous Tumors,430
Tracheitis,428
Anemia to be Investigated,427
Mastitis,424
Polycystic Kidney Disease (PKD),418
Diarrhea,411
Otitis,410
Idiopathic Facial Nerve Paralysis,399
Pleural Effusion Under Investigation,396
Corneal Injury/Irritation,394
Avascular Necrosis of the Femoral Head,393
Bacterial Pneumonia,390
Traumatic Brain Injury (TBI),382
Otitis interna,381
Metacarpal Fracture,381
Traumatic Injury to Collaterals,376
Pre-excitation Syndrome,370
Self-inflicted Dermatitis,368
Biliary Hepatitis Syndrome,360
Radius and Ulna Fracture,359
Coccidioidomycosis,359
Myeloproliferative Disorders,355
Taeniasis,350
Chronic Pancreatitis,350
Acute Respiratory Distress Syndrome (ARDS),346
Eyelid Mass,345
Hypothermia,337
Cataract,335
Panuveitis,332
Hepatic failure,330
Prostatic Cyst,327
Subcutaneous Hematoma,327
Sporotrichosis,326
Proctitis,325
Difficulty in Breathing Under Investigation,325
Food Allergy,325
Bacterial Infectious Diseases,321
Hypoproteinemia,321
Hematochezia Under Investigation,319
Bone Disease,317
Conical/Spherical Crystal,317
Traumatic injury to the collaterals,316
Phalangeal Fracture,312
Pulmonary Heart Disease,312
Miscarriage,312
Eczema,312
Linear Foreign Body,308
Posterior Cruciate Ligament Rupture,307
Oral Trauma,306
Dystocia,305
Oral Mucosal Ulceration,305
Hirschsprung's disease,302
Intestinal Parasitosis,302
Arterial Thrombosis,300
Femoral Head/Neck Fracture,299
Hyperlipidemia,297
Sepsis,295
Iliopsoas Muscle Injury,295
Lymphadenitis,293
Hepatomegaly,291
Pneumothorax,290
Liver Tumor,289
Optic Neuritis,289
Acute Hepatitis,286
Immunologically Mediated Hemolytic Anemia,283
Pulmonary Contusion,279
Cryptorchidism,277
Gastrointestinal Disorders,276
Thrombocytopenia,275
Bladder Diseases,270
Brachial Plexus Injury,268
Ovarian Cyst,266
Cervical Vertebral Myelopathy,264
Hypertension,262
Hematemesis,258
Hyperkalemia,248
Eosinophilic Granulomatosis with Polyangiitis (EGPA),248
Intestinal Tumors,247
Degenerative Mitral Valve Disease,247
Lymphoma,247
Drug Poisoning,243
Endophthalmitis,241
Wrist Fracture/Dislocation,240
Vaginitis,240
Prostatitis,238
Oral-facial fistula,238
Tracheal stenosis,237
Distal Femoral Intercondylar Fracture,237
Neurotrophic Dry Eye Syndrome,237
Corneal Perforation,234
Benign Prostatic Hyperplasia (BPH),233
Joint Dislocation,231
Degenerative Disc Disease,231
Cholangitis,230
Tracheal collapse,229
Keratotic and Seborrheic Dermatoses,228
Underweight to be Investigated,228
Nasal Bleeding,227
Parasitic Dermatoses,227
Eosinophilic Granuloma,224
Azotemia,223
Blepharitis,221
Airway Tumor,219
Chronic Sinusitis,219
Tendon Rupture,219
Hyper-viscosity Syndrome,218
Excessive Hair Removal,218
Biliary Mucinous Cystadenoma,216
Chronic Heart Failure,216
Fibrous Dysplasia of Bone,214
Corneal Abscess,212
Cellulitis,210
Nephrotic Syndrome,210
Inert Corneal Ulcer,209
Cardiorenal Syndrome,209
Inguinal Hernia,209
Proptosis,208
Gastric dilatation,208
Chronic Otitis Externa,205
Viral Pneumonia,204
Pyelonephritis,202
Caudectomy,202
Suppurative Arthritis,200
Tooth Fracture,199
Protrusion of the Third Eyelid,197
Splenic Tumor,196
Abdominal Wall Hernia,195
Parvoviral Enteritis,194
Superficial Corneal Ulcer,194
Hypocalcemia,193
Eyelid Trauma,193
Mammary Hyperplasia,193
Perineal Hernia,190
Under Investigation for Neurological Disorders,190
Gastrointestinal Obstruction,189
Splenomegaly,189
Aspiration Pneumonia,189
Ascites to be Investigated,187
Eosinophilic Dermatitis,186
Feline Triaditis,185
Arthritis (Degenerative Joint Disease),185
Cyclosporiasis,185
Renal Cyst,184
Pharyngitis,183
Bacterial Furunculosis,182
Apical Periodontal Abscess,182
Uterine Diseases,181
Viral Meningoencephalitis,180
Endocrine Dermatoses,179
Hip Dislocation,179
Miliary Dermatitis,178
Deficiency of Kidney Yang,178
Mandibular Abscess (Rodent),178
Mandibular Fracture,178
Epidural Tumor,178
Candidiasis,177
Corneal Sequestrum (Necrotizing Keratitis),176
Tricuspid Regurgitation,176
Gallstones,175
Intestinal Lymphoma,175
Upper Cold and Lower Heat,175
Anterior Cruciate Ligament Rupture,174
Renal enlargement,174
Acute Otitis Externa,172
Mastocytoma,172
Thoracic Vertebral Fracture,170
Traumatic Disc Herniation,170
Ocular Diseases,169
Mediastinal Mass,169
Myasthenia Gravis,166
Intussusception,164
Glaucoma,163
Pending Investigation for Jaundice,163
Lipoma,163
Viral Conjunctivitis,162
Umbilical Hernia,160
Intestinal Qi Stagnation,159
Humeral Fracture,158
Claw Dermatitis,158
SCC,157
Multiple Organ Dysfunction Syndrome (MODS),156
Hookworm disease,155
Systemic Demodicosis,155
Spleen Tumor,154
Edema Disease,153
Radius Fracture,151
Gingival Defect,150
Food Poisoning,150
Polyradiculitis,150
Perianal Tumor,150
Immune-mediated diseases,150
Hypokalemia,149
Exfoliation of the nail plate,149
Rectal Prolapse,149
Drug Reaction,148
Oral Tumors,147
Renal atrophy,147
Renal agenesis,146
Urethral Stricture,145
Uterine Tumor,145
Tooth Resorption,143
Stool with Blood for Examination,143
Pericardial Effusion,142
Ptosis of the Upper Eyelid,142
Rib Fracture,141
Bladder Polyp,140
Idiopathic Epilepsy,140
Feline Eosinophilic Granuloma,140
Pseudopregnancy,139
Blastomycosis,139
Small Intestinal Bacterial Overgrowth (SIBO),139
Foreign Body in the Ear Canal,139
Muscular Atrophy/Muscular Dystrophy,138
Infectious Meningomyelitis,138
Allergic Rhinitis,136
Biliary Vomiting Syndrome,136
Uterine bleeding,136
Esophagitis,136
Coccyx Fracture,135
Diaphragmatic Hernia,135
Hypothyroidism,134
Feline Syncytium Virus Infection,134
Cushing's Syndrome / Hyperadrenocorticism,134
Canine Infectious Tracheobronchitis,134
Ehrlichiosis,133
Food Stagnation in the Gastrointestinal Tract,133
Gingival Hyperplasia,132
Coronavirus Enteritis,132
Pain Under Investigation,131
Epidermoid Cyst,130
Pyogenic Granulomatous Dermatitis,129
"Miscarriage, Termination of Pregnancy",129
Cleft Lip,128
Ischial Fracture,127
Nystagmus,127
Myocarditis,127
Tarsal Fracture,124
Cushing's Neuropathy,122
Parasitic Enteritis,122
Conjunctival Hemorrhage,122
Infectious Myositis,121
Sole Bruise,121
Endocrine and Metabolic Diseases,120
Distal Femoral Metaphyseal Fracture,119
Rupture of the bladder,119
Flexor and Extensor Tendon Injuries,119
Rupture of the Extensor Digitorum Longus Tendon,118
Mosquito and Fly Bite Dermatitis,118
Purulent Accumulation in the Preputial Sac,116
Fibrous Dysplasia,116
Otorhinolaryngological Disorders,116
Cervical Spine Fracture,115
Burn,115
Winter Temperature,115
Rupture of the collateral ligament,114
Bacterial Conjunctivitis,114
Chylothorax,114
Corneal opacity,113
Onion Poisoning,113
Acromegaly,113
Perianal Fistula,113
Pediculosis,113
Esophageal Foreign Body,113
Immune-Mediated Thrombocytopenia,113
Exophthalmos,112
Tooth Avulsion (Extrusion from Alveolar Socket),111
Primary Secretory Otitis Media,110
Feline Dermatophytosis,110
Horner's Syndrome,110
Diabetic Ketoacidosis,109
Meibomian Gland Inflammation,109
Anal Prolapse,109
Pulmonary Arterial Regurgitation,109
Intestinal deworming,108
Pancreatic Cyst,108
Ear Canal Hyperplasia,108
Distal Humeral Intercondylar Fracture,108
Chlamydial Conjunctivitis,108
Bacterial Poditis,108
Salivary Gland Cyst,107
Bladder Tumor,107
Corneal Penetrating Injury,107
Hyporexia/Anorexia to be Investigated,107
Muscular Disorders,107
Degenerative and Hyperplastic Osteoarthritis,107
Cachexia,106
Mitral Valve Dysplasia,106
Hansen Type II Disc Herniation,106
Iliosacral Dislocation,106
Leukemia,106
Nocturnal Enuresis,105
Vertebral Fracture and Dislocation,105
Pyrethrin and Pyrethroid Poisoning,105
Balanoposthitis,105
Brain Diseases,104
Limping Under Investigation,104
Empyema,104
Diseases of Electrolyte Imbalance,103
Polycythemia,103
Excessive Summer Heat Invasion,103
Protrusion of the Third Eyelid Gland,103
Pulmonary Parasites,103
Hyphema,102
Seroma,102
Central Vestibular Syndrome,102
Painless ulcer,102
Class IV Malocclusion,102
Shoulder Dislocation,102
Hair Follicle Cyst,102
Testicular Tumor,101
Exocrine Pancreatic Insufficiency (EPI),101
Ilium Body Fracture,101
Ulnar Fracture,101
Hyperphosphatemia,98
Inflammatory hepatobiliary diseases,97
Breast Diseases,97
Neosporosis,97
Blood and Immune System Diseases,97
Electrolyte Imbalance Disorders,96
Orchitis,96
Osteochondrodysplasia,95
Zinc Phosphide Poisoning,95
Acetabular fossa fracture,95
Acute Abdomen,94
Fetal Death,94
Zygomatic Gland Cyst,94
Adenocarcinoma,94
Bronchiectasis,93
Ureteral Calculi,92
Vaginal Hyperplasia,92
Chronic Hepatitis,92
Intraocular Foreign Body,92
Hyperbilirubinemia,91
Foreign Body in the Esophagus,91
Hypertrophic Osteodystrophy,91
Hydronephrosis,91
Autonomic Nervous System Dysfunction,90
Ulcerative Otitis Externa,89
Nasopharyngeal Stenosis,89
Hypovolemia,89
Ivermectin Poisoning,88
Nasal Cavity Tumor,88
Tic Disorder Under Investigation,87
Pending Investigation of Hematuria,87
Perianal adenoma,87
Congenital Hydrocephalus,87
Complex Corneal Ulcer,86
Subcutaneous Emphysema,86
Cheilitis,86
Hepatic Yang Hyperactivity,86
Elbow Dislocation,86
Hypotension,85
Osteochondrosis,85
Pulmonary Embolism,85
Gastroesophageal Reflux,85
Naso-orbital fistula,85
Oral Foreign Body,84
Toxoplasmosis,84
Infectious Venereal Tumor,84
Orbital Abscess,84
Dermoid Cyst,84
Conjunctival Injury,84
Feline Atopic Syndrome,84
Skull Fracture,84
Joint and Ligament Diseases,84
Intestinal colic,84
Allergic Conjunctivitis,83
To Be Investigated for Neurological Disorders,83
Coagulation Disorders,83
Complex Congenital Heart Disease,83
Hyperviscosity Syndrome,83
Male Dog Infertility,83
**Demodex**,83
Aortic Regurgitation,83
Malignant Edema,83
Lymphocytosis,83
Epistaxis,82
External Genital Diseases,82
Hyperuricemia,82
Iliac Body Fracture,82
Cold Intestinal Diarrhea,80
Overgrown Molars,80
Double Outlet Right Ventricle (DORV),80
Acute Fulminant Hepatic Failure,80
Rubella,79
Sialadenitis/Sialectasis/Salivary Gland Necrosis,79
Weakness of the Heart Yang,78
Vaginal Tumors,78
Microcrystalline,78
Ureteral dilation,78
Neurogenic Self-induced Alopecia,78
Orbital Emphysema/Hematoma,78
Pulmonary Arterial Hypertension,77
Investigation of Bloody Stool,77
Class I Malocclusion,77
Growth Plate Fracture,77
Arrhythmogenic Right Ventricular Cardiomyopathy (ARVC),76
Bladder Trauma,76
Hepatic Encephalopathy,76
Decreased or Absent Appetite Under Investigation,76
Streptococcosis,75
Interdigital Furunculosis,75
Hypercalcemia,75
Schistosomiasis,75
Nematode Infection of the Eye,75
Hypertrophy of the External Auditory Canal,75
Subconjunctival Hemorrhage,75
Elbow Mucinous Cyst,74
Retained deciduous teeth,74
Immunologically Mediated Dermatosis,74
Spina Bifida,74
Laryngeal Edema,73
Puppy Pyoderma,73
Focal Nodular Hyperplasia of the Liver,73
Dental Caries,73
Cleft Palate,73
Arrhythmia,72
Corneal Laceration,72
Primary Seborrhea,71
Scleritis,71
Male Cat Infertility,71
Chlorinated Hydrocarbon Insecticide Poisoning,71
Bloody Stool Under Investigation,70
Oral Eosinophilic Granuloma,70
Optic Nerve Defect,70
Intestinal Parasitic Diseases,70
Peripheral Vestibular Syndrome,70
Feline Acne,70
Atlantoaxial Instability (Joint Dislocation),70
Pulp Stone,69
Ceruminous Gland Cyst,69
Anticoagulant Rodenticide Poisoning,69
Symblepharon,69
Spinal Deformity,69
Biliary Obstruction,69
Aphthous Ulcers,68
Uterine Rupture,68
Pemphigus Foliaceus,67
Ovarian Tumor,67
Peripheral Edema,67
HSA,67
Scrofula,67
Prostatic Diseases,67
Hepatobiliary and Pancreatic System Diseases,66
Patellar Fracture,66
Sebaceous Adenoma,66
Muscle Strain of the Tailbone,66
Infective Endocarditis,66
Abnormal Estrus,65
Pubic Fracture,65
Oral Mucositis,65
MM,64
Impaired Lung Collateral Circulation,64
Hyperactivity of Liver Yang,64
Tumors of the Toe,64
Feline Spinal Cord Disease,64
Epulis,63
Optic Nerve Atrophy,62
Ceruminous External Otitis,62
Malocclusion,62
Mycoplasma Blood Infection,62
Autoimmune and Immune-Mediated Dermatologic Diseases,62
Feline Hypersensitivity Syndrome,61
Trichiasis,61
Pulmonary Fibrosis,61
SCC (Sperm Chromatin Condensation),61
Hypopyon,61
Dysplasia of hair follicles,60
Scapular Fracture,60
Trichuriasis,60
Inflammation of the crop,60
Nuclear sclerosis of the lens,60
Acral Lick Dermatitis,60
Keratoconjunctivitis Sicca (Dry Eye Syndrome),60
Inflammatory carcinoma,60
Acetaminophen Poisoning,60
Autoimmune and Immune-Mediated Dermatological Diseases,60
Uterine Bleeding,59
Tongue Injury,59
Cauda Equina Syndrome,59
Laryngeal Paralysis,58
Systolic Dysfunction,58
Pathological Fracture,58
Retinal Hemorrhage,58
Financial Services Authority,58
Hepatic Lipidosis Syndrome,57
Feline Leukemia Virus Infection,57
Retinal Detachment,57
Hypertrophic Otitis Externa,57
Laryngeal edema,56
Cognitive Dysfunction Syndrome,56
Drug Allergy,56
Cryptosporidiosis,55
Hyperthyroidism,55
Acute Toxic Hepatitis,55
Follicular Conjunctivitis,55
Tibial Tuberosity Avulsion Fracture,55
Thoracic Wall Tumor,55
Soluble Corneal Ulcer,54
Trematodiasis,54
Pneumomediastinum,54
Otorrhea,54
Vaginal discharge,54
Uremia,54
Congenital Hypotrichosis,53
Aural polyp,53
Glossitis,53
Periapical abscess,52
Oro-nasal fistula,52
Hypertrophy of the tail gland,51
Nephrotic Syndrome with Protein Loss,51
Fungal Nail Infection,51
Chlamydial Pneumonia,51
Alkaloid Poisoning,51
Urethral Trauma,50
Undifferentiated Tumor,50
Pseudocyesis,50
Traumatic Vestibular Syndrome,50
Occlusal Trauma,50
Nasopharyngeal Polyp,50
Tracheal Stenosis,49
Urinary Retention,49
Idiopathic Vestibular Syndrome,49
Eyelid Tumor,49
Hyponatremia,49
Sternal Fracture,49
Pyloric Stenosis,48
TCC,48
Mycoplasma Infection in Blood,48
Intestinal Sand Accumulation,48
Emphysema,47
Gastrointestinal Tumors,47
Bone Cyst,47
Euthanasia,47
Protozoal Infections,47
Peritoneal Cavity Diseases,47
Temporomandibular Joint Dislocation,47
Pulmonary hypoplasia,46
Canine Infectious Hepatitis,46
Blind colitis,46
Feline Immunodeficiency Virus Infection,46
Mucocutaneous Junction Pyoderma,46
Salmonellosis,46
Hereditary Retinal Dysplasia and Persistent Hyperplastic Primary Vitreous (PHPV),46
Neutrophilia,46
Protein-losing Enteropathy,45
Orbital Granuloma,45
Streptococcal Disease,45
Urine mud,45
Megaesophagus,45
Renal Tumor,45
Pericardial Hernia,45
Skeletal Dysplasia,45
Hypophosphatemia,45
Subcorneal Pustular Dermatosis in Dogs,45
Restrictive Cardiomyopathy,44
Infectious Myocarditis,44
Corneal Endothelial Dystrophy,44
Iodine Metabolism Disorder,44
"Difficulty in Breathing, Under Investigation",44
Abnormal Development of Microvessels,44
Tracheal Diseases,44
Mucin Deficiency,44
Maxillary Fracture,44
Separation Anxiety Disorder,43
Postpartum Lochiorrhea,43
Injection reaction,43
Wrinkle Dermatitis,43
Lobar torsion of the lung,43
Eosinophilia,43
Carpal Bone Fracture,42
Cutaneous Vasculitis,42
Muscle Rupture (Muscle Tear),42
Microphthalmia,42
Rupture of the spleen,42
Organophosphorus Poisoning,42
Liposarcoma,42
Decreased or Complete Loss of Appetite Under Investigation,42
Pyometra and Cystic Endometrial Hyperplasia,42
Panosteitis,42
Syringomyelia,42
Pectus Excavatum,41
Aseptic Nodular Panniculitis,41
Gallbladder Mucinous Cystadenoma,41
Nematodiasis,41
Tendinitis,41
Gastric Tumor,41
Feline Idiopathic Facial Dermatitis,40
MCT (Medium-Chain Triglycerides),40
Multicentric Lymphoma,40
Bacterial Rhinitis,40
Pulpitis,40
Malignant Hyperthermia,40
Pemphigus,40
LSA (Latent Semantic Analysis),40
Orbital Diseases,40
Atrial Septal Defect (Reversed),40
Lid Laceration,40
Pending Investigation for Hematuria,40
Secondary Liver Disease,40
Palatitis,39
Neutropenia,39
Cryptococcosis,39
Dacryocystitis,39
Cutaneous Tag,39
Hypoadrenocorticism,39
Myiasis,39
Nasal hemorrhage,39
Ureteral Obstruction,39
Prostatic Abscess,39
Corneal Degeneration,39
Dry Keratoconjunctivitis (Dry Eye Syndrome),39
Truncal Cyclical Alopecia,39
Pasteurellosis,39
Acute Gastric Dilatation and Volvulus,39
Sebaceous Adenitis,39
Hypertrophic pyloric gastropathy,38
Strabismus,38
Elbow Dysplasia,38
Foreign Body in the Nasotracheal Region,38
Bullous Keratopathy,38
Barbiturate Poisoning,38
Departmental Dermatitis,38
Fracture of the Sacrum,38
Organophosphorus Compound Poisoning,38
Parathyroid Diseases,37
Furunculosis,37
Pigmentary Uveitis,37
Acute Postoperative Ocular Hypertension,37
Equine Hip Dislocation,37
Damp-heat diarrhea,37
Hypoglycemic Encephalopathy,37
Carpal Fracture,36
Senile Cataract,36
Pituitary Tumor,36
Pulmonary Tumor,36
Deficiency of Lung Yin,36
Grape Poisoning,36
Appetite Loss/Anorexia to be Investigated,36
Aural Canal Tumor,36
Otorhinolaryngological Diseases,36
Viral Keratitis,35
Ocular eyelid disorders,35
Simple Intestinal Obstruction,35
Bilateral atrioventricular valve degenerative disease,35
Diabetic Ketoacidosis (DKA),35
Aortic Calcification,35
Papilledema,35
Ovarian Diseases,35
Refeeding Syndrome,35
Feline Idiopathic Ulcerative Dermatosis,35
Degenerative and Hypertrophic Osteoarthritis,34
Behavioral Anomaly,34
Tooth Displacement (still within the alveolar socket),34
Liver and Kidney Yin Deficiency,34
Bladder Dysfunction - Detrusor Muscle Hypotonia,34
Lung Abscess,34
Glomerulonephritis,34
"Diseases of the Nose, Nasopharynx, and Paranasal Sinuses",34
Bladder paralysis,34
Drowning,34
Lid coloboma,34
Cardiopulmonary Arrest,34
Poisoning by Toxic Plants and Animal Toxins,34
Malignant Histiocytoma,34
Superficial Necrotic Dermatitis (Hepatocutaneous Disease),33
Myxosarcoma,33
Stellate Vitreous Degeneration,33
Tongue Laceration,33
Rectal Fistula,33
Bacterial Keratitis,33
Polyp,33
Hyperextension of the wrist,33
Twin Teeth,33
Dysphagia,33
Chocolate Poisoning,32
Osteosarcoma,32
Ceruminous Gland Hyperplasia,32
Thyroid Diseases,32
Adverse Drug Reactions,32
Persistent Corpus Luteum,32
Spinal Cord Diseases,32
Generalized Demodicosis,32
Rheumatoid Arthritis,32
Rupture of the Spleen,32
Esophageal Diseases,32
Bradycardia,32
Narcolepsy,32
Avulsion Fracture of the Olecranon,32
Pancreatic Endocrine Diseases,32
Sex Hormone-Related Dermatoses,32
Feline Gingivostomatitis (Feline Posterior Oral Stomatitis),32
Cerebellar Disorders,31
Myelodysplastic Syndromes (MDS),31
Vertebral Osteomyelitis,31
Urethral mucosal prolapse,31
Hair mites,31
Thymic Diseases,31
Dermatophilosis,31
Tympanic membrane tear,31
Tick Bite Paralysis/Tick Paralysis,31
Deposition of Abnormal Substances in the Cornea,31
Exocrine Pancreatic Insufficiency,31
Demodex,31
Mononucleosis,30
Vaginal Prolapse,30
Acid-Base Related Encephalopathy,30
Iodine Metabolic Disorders,30
Submental Pyoderma,30
Corneal Lipid Deposition,30
Hypernatremia,30
Hypothyroid Myopathy,30
Hypertrophic Obstructive Cardiomyopathy (HOCM),30
Anal Sac Adenoma,29
T-shaped cartilage deformation,29
Pancreatic Tumor,29
Panophthalmitis,29
Pulmonary Artery Stenosis,29
Vitamin A Deficiency,29
Bilateral prolapse of the third eyelid,29
Excessive Summer Heat,29
Neuronal Migration Disorder,29
Ovarian Remnant Syndrome,29
Urethral rupture,29
Liver abscess,29
Odontoma,29
Lingual Hairs,29
Diabetes Insipidus,28
Lip Laceration,28
Residual Tooth Root,28
Breast Cancer,28
Open limb,28
Referral Pending Investigation,28
Trigeminal Neuralgia,28
Subchondral Cyst,28
Nasal and oral fistula,28
Neurotrophic Keratoconjunctivitis,28
Tumors of the Toes,28
Incisional Hernia,28
Anterior Dislocation of the Lens,27
Hornet Sting,27
Weakness of the Spleen and Stomach,27
Melancholia,27
