Disease,Count
"Myopathy, Non-inflammatory (Endocrine)",27
Prostate Tumor,27
Wall-Spored Mycosis,27
Liver cirrhosis and hepatic fibrosis,27
Periodontal Disease (Rodent),27
Hepatosplenomegaly Under Investigation,27
Intestinal parasitosis,27
Tachycardia,27
Lipid Keratopathy,26
Chalazion,26
Prolonged soft palate,26
Congenital Renal Dysplasia,26
Tricuspid Valve Dysplasia,26
Rhinitis (Rhinitis and Sinusitis),26
Continuous Drug Delivery via the Skin System,26
Contact stomatitis,26
Vaginal Diseases,26
Abdominal Wall Penetration Injury,26
Protozoal Meningoencephalitis,26
Auricular Tumor,26
Health Sciences Authority,26
Chronic Superficial Keratitis (Pannus),26
Metabolic Bone Disease,26
Oral and Pharyngeal Diseases,26
Pleural Cavity Diseases,26
Mycotoxin Poisoning,26
Paroxysmal Dyskinesia,25
Osteoarthritis (Degenerative Joint Disease),25
Gastric Dilatation,25
Atrophic Dermatitis,25
Vaginal Leiomyoma,25
PNS Tumors,25
Cholesterol Deposit in the Eye,25
Aural canal tumor,25
Thoracic Wall Trauma,25
Diseases of the Uropygial Gland,25
Mandibular Angle Protrusion,25
Hypoxemia,25
Yin Deficiency and Yang Floating,25
Corneal and Scleral Diseases,25
Excessive hair removal,25
Myocardial Infarction,25
Osteoma,25
Pigmentary Keratitis (Superficial Pigmentary Keratitis),24
Lily Poisoning,24
Tear of the Third Eyelid,24
Spinal Cord Disorders,24
Myokymia and Neuromyotonia,24
Fetal death,24
Idiopathic Osteodystrophy,24
Chronic Canine Contact Stomatitis,24
Herniation of the Intervertebral Disc Nucleus Pulposus,24
Lymphangiectasia,23
Arterial Embolism,23
Small lacrimal point,23
Perianal Adenoma,23
Cardiac Tumor,23
Adrenal Tumor,23
Hepatic Portal Vein Shunt (Acquired),23
Conjunctival and Third Eyelid Diseases,23
Posterior Elastic Layer Protrusion,23
Lymphoid Tumors,23
Solar Dermatitis,23
Lymphoplasmacytic Rhinitis,23
Abnormal Pigmentation,23
Functional Incontinence of the Urethral Sphincter,23
Vitreous Syneresis,23
Muscle and Tendon Disorders,23
Feline Plasma Cell Pododermatitis,23
Cheyletiella mites,23
Sialadenitis/Sialodochitis/Salivary Gland Necrosis,22
Eisenmenger Syndrome,22
Gastric Dilation/Volvulus,22
Mumps,22
Liver Abscess,22
Liver Qi Stagnation,22
Hyporexia/Anorexia Under Investigation,22
Atrioventricular Septal Dysplasia,22
Lens Subluxation,22
Blind Colitis,22
Yin Injury and Stomach Decline,21
Tear of the Ear Canal,21
Canine Familial Dermatomyositis,21
Fungal Uveitis,21
Feline Poxvirus Infection,21
Iris Nevus,21
Secondary Glaucoma,21
Foreign Body in the Oral Cavity,21
Uterine Prolapse,21
Subaortic Stenosis,21
Root sclerosis,21
Lacrimal Duct Laceration,21
Melanoma,21
Gastrointestinal Heat Accumulation,21
Tumors of the External Auditory Canal,21
Lymphopenia,21
Eosinophilic Keratitis,21
Extravasation of Lymph,21
Sialadenitis,21
Astrovirus Infection,21
Otorrhea with Pus,21
Corneal Calcific Degeneration,21
Hypoplasia or Defect of Posterior Articular Process,21
Lacrimal punctum,21
Cardiac Tumors,21
Blind Intestinal Colitis,21
Pleurisy Pneumonia,21
Anal Adenoma,21
Fracture of the Nasal Bone,21
Deficiency of Stomach Yin,21
Abdominal Wall Disorders,21
Bacterial Pododermatitis,21
Bilateral Atrioventricular Valve Degenerative Lesions,21
Cold Stagnation in the Heart Meridian,21
Canine Nasal Mite,21
Vitamin B1 Deficiency,21
Internal Closure and External Detachment,20
Metastatic Tumor,20
Cutaneous Mucinosis,20
Urticaria and Angioedema (Hives),20
Fracture/Dislocation of the Tarsal Joint,20
Palpebral Mass,20
Estrogen Deficiency,20
Fungal Pneumonia,20
Venous Thrombosis,20
Recurrent and Chronic Pancreatitis,20
Hypoparathyroidism,20
Adenomatous Polyp,20
Avian Rhinolithiasis,20
Tarsal Gland Tumor,20
Pica,20
Tumor of the External Auditory Canal,20
Uveal Cyst,20
Insufficiency of Lung Yin,20
Anisocoria,20
Disseminated Intravascular Coagulation (DIC),20
Portal Hypertension,19
Traumatic Uveitis,19
Diabetes - Hyperosmolar Coma,19
Amitraz Poisoning,19
Posterior synechia of the iris,19
Weakness of Heart Qi,19
Atlantoaxial Dislocation (Traumatic),19
Red Blood Cell Disorders,19
Pulmonary Mineralization,19
Obstructive Sleep Apnea,19
Ocular Disorders,19
Ectropion,19
Excessive bacterial proliferation,19
Iris Atrophy,19
Peritoneopericardial Diaphragmatic Hernia,19
Splenic Angiosarcoma,19
Eosinophilic plaque,19
Ischemic Cerebral Infarction,19
Hemothorax,19
Placenta Retention,19
Hypoplasia or Defect of the Posterior Articular Process,19
Tumors of the Third Eyelid,19
Laryngeal Injury,19
Deficiency of Kidney Qi,19
Hemorrhagic Cerebral Disease,19
Medial Canthal Hair Drainage Syndrome,18
Hypochloremia,18
Poxvirus Infection,18
Dandy-Walker Syndrome,18
Achilles tendon rupture,18
Thyroid Tumor,18
Cardiac Tamponade,18
Bladder Polyps,18
Penetrating Scleral Injury,18
Generalized Progressive Retinal Atrophy,18
Uterine torsion,18
Coagulation Disorders/Gastrointestinal Bleeding,18
Laryngeal Paralysis with Multiple Neuropathy,18
Cranio-Mandibular Disorders,18
Renal Abscess,18
Continuous Administration of Blood and Immune System Agents,18
Thermal Burn,18
Spontaneous Granulomatous Disease,18
Hair Follicle Dysplasia,18
Hornet Sting Injury,18
Episcleritis,18
Nasal and Facial Tumors,18
Paraprostatic cyst,18
Carbamate Poisoning,17
Myringitis,17
Distichiasis,17
Hypokalemic Myopathy,17
Matrix Corneal Ulcer,17
Bird's Beak Sign,17
Alveolar Bone Necrosis,17
Cor triatriatum,17
Dyskeratosis,17
Protozoal Infection Diseases,17
Earwax Debris and Earwax Impaction,17
Full-thickness Corneal Laceration,17
Purpura,17
Disorders of Sexual Development (DSD),17
Familial Fever,17
Tongue Tumor,17
Esophageal Stenosis,17
Oral sinus tract,17
Hiatal Hernia,17
Polycystic Kidney Disease,17
Erythema Multiforme,16
Stromal Keratitis,16
Hypertrophic Osteoarthropathy,16
Snake Venom Poisoning,16
Gastric pyloric stenosis,16
Cerebellar Malformation,16
X Hair Removal,16
Hepatic Amyloidosis,16
Leptospirosis,16
Persistent Right Aortic Arch,16
Postpartum milk,16
Respiratory Parasites,16
Anaerobic Infection,16
Rhinoentomophthoromycosis,16
Immunologically Mediated Dermatoses,16
Aspergillosis,16
Schnauzer Comedo Syndrome,16
Lyme Disease,16
Tracheobronchomalacia,16
Pyrexia of Unknown Origin (PUO),16
Esophageal Diverticulum,16
Feline Syncytial Virus Infection,16
Hair removal without regrowth,16
Hypertensive Encephalopathy,16
Thoracoabdominal Inflammation,16
Posterior Capsular Opacification,16
Brucellosis,16
Tympanic Membrane Perforation,16
Aural Hematoma,16
Kidney Deficiency with Water Overflow,16
Nasal Cavity Tumors,16
Thoracic vertebrae fracture,16
Invisible Body Disease,16
Tooth Wear (Abnormal),15
Anterior synechia of the iris,15
Capsular eye,15
Mandibular Body Fracture,15
Enamel Fracture,15
Superficial Punctate Keratitis,15
Sarcoma,15
Ankylosing Spondylitis with Deformity,15
Hair Removal Without Regrowth,15
Ectopic Cilia,15
Aortic dilation,15
Adrenal Diseases,15
Juvenile Cat Gingivitis,15
Saprolegniosis,15
Bladder polyps,15
Saprolegniasis,15
Corneal Tumor,15
Patent Ductus Arteriosus (PDA),15
Ocular Eyelid Disorders,15
Hepatic Lobe Torsion,15
Epididymitis,15
Airway Foreign Body,15
Hair Follicle Tumor,15
Feline Parvovirus-Associated Cerebellar Lesions,15
Osteomyelitis,15
Chemical Burns in the Oral Cavity,15
Vascular Ring Anomaly,15
Mandibular Osteopathy of the Head Region,15
Incomplete eyelid closure,15
Pulmonary Congestion,15
Orbital Cellulitis,14
Exposure Keratitis,14
Jugular Phlebitis,14
Trunk Cyclic Alopecia,14
Ureteral Diseases,14
Frog Rot,14
Nasal Cavity Adenocarcinoma,14
Weak Heart Qi,14
Bacterial Meningoencephalitis,14
Callus Pyoderma,14
Under Investigation for Jaundice,14
Inguinal Scrotal Hernia,14
Canine Spindle Cell Ameloblastoma,14
Kidney Deficiency and Liver Hyperactivity,14
Hyperparathyroidism,14
Placental Abruption,14
Iliopsoas Injury,14
Laryngeal Diseases,14
Mixed Mesothelioma,14
Lobar torsion,14
Epidural Abscess,14
Chondrosarcoma,14
Femoral Condyle and Trochlear Ridge Fracture,14
Aphthous ulcers,14
External Auditory Canal Polyp,14
Distal Radius and Ulna Metaphyseal Fracture,14
Alveolar Bone Osteomyelitis,14
Phthisis Bulbi,14
Polydipsia and Polyuria Under Investigation,14
Cryptogenic Meningoencephalitis-Cerebral Type,14
Patent Ductus Arteriosus (Reversed),13
Deficiency of Both Yin and Yang,13
Liver and Kidney Deficiency,13
Vitamin B2 Deficiency,13
Squamous Cell Carcinoma,13
Duramater Ossification,13
Stellar Vitreous Degeneration,13
Multiple System Neuronal Degenerative Disease/Dystrophy,13
Injection site sarcoma,13
Jugular Veinitis,13
Degenerative Tricuspid Valve Disease,13
Paradoxical Vestibular Syndrome,13
Punctum lacrimale minuscule,13
Stasis and Turbidity Obstruction,13
Mastocytosis,13
Bartonellosis of the Blood,13
Rabbit Mucinous Enteropathy,13
Embryonic Vascular Anomalies,13
Incomplete involution of the uterus,13
Decayed carapace,13
Placental Retention,13
Snakebite Envenoming,13
Feline Leprosy,13
Toad Venom Poisoning,13
Ectopic Ureter,13
Juvenile Cat Periodontitis,13
Spinal Cord Tumor,13
Pannus,13
Alveolar bone sclerosis,13
Rickets,13
Bursitis,13
Air Sacculitis,13
Perianal Gland Carcinoma,13
Pyogenic Arthritis,13
Colorectal Tumor,13
Organofluorine Poisoning,13
Chiari-like Malformation,13
Nasal Cavity Lymphoma,13
Dentine Stone,12
Pulmonary Arterial Dilation,12
Vertebral Tumor,12
Infectious Meningoencephalitis,12
Urethral Tumor,12
Panniculitis,12
Epiphysitis,12
Aspirin Poisoning,12
Ureteral rupture,12
Familial Palmoplantar Keratoderma,12
Cutaneous Horn,12
Lipatitis,12
Demodex mites,12
Edema of the soft palate,12
Bark Rot,12
Obstructive Sleep Apnea (OSA),12
Ascites to be investigated,12
Ocular Diseases of the Eyelids,12
Ceruminous Cyst,12
Rupture of Anal Glands,12
Lacrimal Duct Obstruction,12
Tearing Wound of the Ear,12
Microcystosis,12
Congenital Dermatosis,12
Tetralogy of Fallot,12
Spinal Dysraphism,12
Galactorrhea,11
Cutaneous Plasmacytoma,11
traction alopecia,11
Nuclear Sclerosis of the Lens,11
Aural atresia,11
Primary Ciliary Dyskinesia,11
Excessive Stomach Heat,11
Gallbladder Tumor,11
Punctum Lachrymale,11
Keratinizing and Seborrheic Dermatoses,11
Pulmonary Emphysema,11
FSA (Financial Services Authority),11
Juvenile Feline Gingivitis,11
Wind-cold attacking the lung,11
Airway Stenosis,11
Oral Squamous Cell Carcinoma,11
Hyperadrenocorticism (Cushing's Myopathy),11
Lymphoplasmacytic Enteritis/Colitis,11
Basal Cell Carcinoma,11
Agalactia Postpartum,11
Salivary Gland Diseases,11
Cutaneous Sinus,11
Bladder Damp-Heat,11
Ankylosis of the Temporomandibular Joint,11
Yeast Infection,11
Ischemic Neuromuscular Disorders,11
Meningocele/Myelomeningocele,10
Brachycephalic Airway Syndrome,10
Cutaneous Calcification,10
Summer Heat,10
Depression,10
Radioulnar Dysplasia,10
Multiple System Neurodegenerative Disorders/Dystrophy,10
Feather Pecking,10
Overlong cheek teeth,10
Papilloma,10
Deafness,10
Atrial Septal Defect (ASD),10
Corneal Dystrophy,10
Priapism,10
Neurogenic Dry Eye Syndrome,10
Feline Traumatic Ischemic Myelopathy,10
Atlantoaxial Dislocation (Congenital),10
Trigeminal Neuritis,10
Hypertensive Retinopathy,10
Iris Tumor,10
Anorectal and Perineal Diseases,10
Thoracic wall penetrating injury,10
Pulmonary Hypoplasia,10
Dryness and Fluid Injury of the Stomach,10
Penile Tumor,10
Cloacal Disease,10
Perirenal Pseudocyst,10
Ocular Melanosis,10
Primary Glaucoma,10
Maxillary Abscess (Rodent),10
Allergic/Eosinophilic Lung Disease,10
Wind-Heat Injury to the Collaterals,10
Ligamentum collaterale rupture,10
Pancreatic Adenocarcinoma,10
Mediastinal Lymphoma,10
Loss of eyelid reflex,10
Degenerative Spinal Cord Disease,10
Sudden Blindness,10
Tooth Avulsion (Extraction from Alveolar Socket),10
Retinal Degeneration,10
Ceruminous Otitis Externa,10
Congenital Intervertebral Disc Malformation,10
Mixed-type Mesothelioma,10
Stromal Cell Tumor,10
Abnormal Substance Deposition in the Cornea,10
Injury to the tail muscles,10
Enamel cleavage,10
Damp-heat in the large intestine,10
Mesenteric Volvulus,10
Urine Stain,10
Myxoma,10
Interstitial Nephritis,9
Necrosis of the dental pulp,9
Antibiotic-Responsive Enteritis,9
Hyperchloremia,9
Hypertrophic External Otitis,9
Intestinal Dampness-Heat,9
Mandibular Joint Dysplasia,9
Thrombocytosis,9
Tetanus Toxin,9
Clipping Egg,9
Crystal-induced Uveitis,9
Hepatic Portal Microvascular Dysplasia,9
Pneumoperitoneum,9
Fibrocartilaginous Embolic Myelopathy,9
Iris Speckle,9
Meningioma,9
Polycoria,9
Tracheal perforation,9
Synovial Cyst,9
Epidural Mucinous Cyst,9
Intraocular Tumors,9
Paraneoplastic Syndrome,9
Wind-warmth syndrome,9
Mandibular Symphysis Avulsion,9
Malignant Mixed Tumor,9
Vulvar Tumor,9
First-degree atrioventricular block,9
Anal sac adenoma,9
Root Fusion,9
Leigh Syndrome,9
Hemifacial Spasm,9
Trypanosomiasis,9
Full-Thickness Corneal Laceration,9
Pythium Blight,9
Parasitic Conjunctivitis,9
Infertility,9
Deficiency of both Qi and Yin,9
Lung abscess,9
Oral Sinus Tract,9
Palpitations,9
Pending Investigation of Bloody Stool,9
Vitamin C Deficiency,9
Malformation of Forearm Growth,9
Posterior Polymorphous Dystrophy,9
Deficiency of Coagulation Factors,8
Anterior synechiae of the iris,8
Non-erosive Polyarthritis,8
Transfusion Reaction,8
Bromide Poisoning,8
Epithelial Tumors,8
Piroplasmosis,8
Hepatozoonosis,8
Nasal Hemorrhage,8
Neurotrophic Keratopathy,8
Acupuncture Healthcare,8
Intraepidermal Keratinizing Epithelioma,8
Diseases of Red Blood Cells,8
Abdominal wall penetration injury,8
Lenticular Defect,8
Damp Heat,8
Tonsillitis,8
Spontaneous Self-harm,8
Fibrosarcoma,8
Meconium Ileus,8
Testicular atrophy and hypoplasia,8
Hypomagnesemia,8
Epithelial-Origin Tumors,8
Abdominal Serratus Muscle Tear,8
Splenic Torsion,8
Intestinal Dampness and Heat,8
Cranial cruciate ligament dysplasia,8
Eustachian Tube Dilation,8
Cryptogenic Meningoencephalitis-Cerebellar Type,8
Mating,8
Fungal Keratitis,8
Autonomic Neuropathy/Familial Autonomic Neuropathy,8
Phlegm Stagnation and Toxin Accumulation,8
Hypersensitivity Pneumonitis,8
Vitamin D Toxicity,8
Equine Infectious Anemia,8
Aflatoxicosis,8
Spleen Deficiency and Liver Hyperactivity,8
Arrhythmogenic Right Ventricular Cardiomyopathy,8
Esophageal Tumor,8
Gastric Dilation,8
Trypanosomiasis evansi,8
Painless Ulcer,8
Tinea Circinata,8
Psychogenic Self-induced Alopecia,8
Fungal Conjunctivitis,8
Gastric Dilatation/Volvulus,8
Intestinal Wind Injury to the Collaterals,8
Gracilis Muscle Tear,8
Focal Nodular Hyperplasia (FNH) of the Liver,8
Hemivertebra/Butterfly Vertebra/Block Vertebra,8
Permanent Pupillary Membrane,8
Hyperactivity of Liver Fire,8
Underweight to be investigated,8
Cerebellar Hypoplasia,8
Aplasia of the lens,8
Fibroma,8
Microcornea,8
Gastrointestinal nematodiasis,8
Conjunctival sac foreign body,8
Triazine Poisoning,8
Idiopathic Aseptic Granuloma and Pyogenic Granuloma,8
Dampness-Heat in Spleen and Stomach,8
Hyperkalemic Periodic Paralysis,8
Angiosarcoma,8
Qi Stagnation and Blood Stasis,8
Decayed Carapace,8
Upper Jiao Damp-Heat,7
Premature Ventricular Contractions (PVCs),7
Round Cell Tumor,7
Lid laceration,7
Congenital Optic Disc Dysplasia,7
Ventricular automatic rhythm,7
Bone Marrow Disorders,7
Secondary Brain Tumor,7
Basophilic Dermatitis,7
Necrotizing Meningoencephalitis - Cerebral,7
Gluteal Muscle Injury,7
Systemic Lupus Erythematosus (SLE),7
Small Crystallites,7
Medium-Chain Triglycerides,7
Rotavirus Infection,7
Second-degree atrioventricular block,7
Corneal Dermoid Cyst,7
Metacarpal Osteophyte,7
Penetrating Corneal Injury,7
Spleen and Stomach Deficiency Cold,7
Blood Stasis Blocking the Meridians,7
Pulmonary Lymphomatoid Granulomatosis,7
Hepatic Portal Venous Shunt (Congenital),7
Bullous Cutaneous Lupus Erythematosus (VCLE),7
Trunk cyclic alopecia,7
Apoplexy of the Sun,7
Pigmentary Abnormalities,7
Rhabdomyolysis (Fatigue-Induced Myopathy),7
SJS and Toxic Epidermal Necrolysis,7
Bicipital Tenosynovitis,7
Burns,7
Non-specific cardiomyopathy,7
Dysentery,7
Fanconi Syndrome,7
Exertional Myopathy,7
Liver Cancer,7
Hair Removal without Regrowth,7
Matrix corneal ulcer,7
Hyperestrogenism,7
Anal adenoma,7
Mandibular Ramus Fracture,7
Distal Motor Neuron Denervation Disease,7
Primary Bone Tumor,7
Spleen Qi Deficiency,7
Viral Myocarditis,7
Non-infectious Subcutaneous Swelling,7
Tumoral Calcinosis,7
Brachial Plexus Neuritis,7
Paralytic Myoglobinuria Disease,7
Leishmaniasis,7
Hyperplasia of the mammary glands,7
Investigation of Hematochezia,7
Paraphimosis and redundant prepuce,7
Sterile Eosinophilic Pustulosis,7
Pending Investigation of Hematochezia,7
Gout,7
Ceruminous Adenoma,7
Thymoma,7
Diabetic Neuropathy,7
Vitreitis,7
Internal Disturbance due to Blood Heat,7
Botulinum Toxin Poisoning,7
Injury to the Ulnar Flexor Muscles of the Wrist,7
Actinomycosis,7
Evil Qi Stagnation in the Lesser Yang,7
Tarsal Inversion of Eyelashes,7
Anodontia,7
Hirschsprung's Disease,7
Dryness in the Lung and Stagnant Heat,7
Chloroquine Drug Poisoning,7
Bacterial Corneal Ulcer,7
Crystalline Corneal Opacity,6
Adenoma,6
Hyperaldosteronism,6
Calcium Deposit in the Skin,6
Persistent Hyaloid Artery,6
Uveocutaneous Syndrome,6
Sebaceous Gland Inflammation,6
Algaecide Poisoning,6
Abnormality of the Soft Palate,6
Granulomatous Meningoencephalitis-Cerebellar Type,6
Ceruminous Gland Tumor,6
Rotten Armor,6
Plague,6
Weak Spleen and Stomach,6
Feng's Factor Disease,6
Kidney Deficiency and Instability,6
Thrombotic Encephalopathy,6
Granulomatous Meningoencephalitis - Cerebral Type,6
Liver Qi Stagnation and Spleen Deficiency,6
Corneal Stromal Abscess,6
Model alopecia areata,6
Leukodystrophy,6
Hypertrophic Necrotizing Otitis,6
Petroleum Hydrocarbon Poisoning,6
Feline Cowpox,6
Degenerative Myelopathy,6
Vertebral Facet Joint Hypertrophy,6
Ceruminous Gland Carcinoma,6
Herpes Simplex,6
Meningitis/Myelitis/Meningomyelitis,6
Orbital Cyst,6
Volvulus,6
Tear of the Biceps Tendon Origin,6
Supraventricular Premature Beats,6
Paroxysmal Movement Disorder,6
Pulp Necrosis,6
Neurotrophic Keratitis,6
Heartworm Disease,6
Intramedullary Spinal Cord Tumor,6
Hemangioma,6
Epidemic Toxin Invasion,6
Mycetoma (Pseudomycetoma),6
Oral Fibrosarcoma,6
Microcysticercosis,6
Impaired Pulmonary Collateral Circulation,6
Excessive Accumulation of Lung Heat,6
Wall Sporulation Fungosis,6
Urogenital System Tumors,6
Dissolving Corneal Ulcer,6
Intraoral Electrical Burn,6
Basophilia,6
Deficiency of Kidney Yin,6
Metronidazole Poisoning,6
Gastrointestinal bloating,6
Foramina Magnum-Related Malformations,6
Salivary Gland Stones (Sialoliths),6
Tracheal hypoplasia,6
Liver Cirrhosis and Hepatic Fibrosis,6
Hypermagnesemia,6
Persistent Hyperplastic Primary Vitreous / Persistent Hyaloid Vasculature (PHPV/PHTVL),6
Pericardial Tumor,6
Gastrointestinal Stagnation,6
Abnormal Neuronal Migration,6
Deficiency of Spleen Qi,6
Strongyloidiasis,6
Paragonimus,6
Congenital Cataract,5
Furcation Lesion,5
Sinus Tachycardia,5
Hypoplasia or defect of the eyelid,5
Primary Wall Fungus Disease,5
Neonatal Conjunctivitis,5
Zygomatic bone fracture,5
Subcranial Mandibular Disease,5
Laryngeal paralysis,5
Degenerative Vitreous Opacification,5
Chemically Induced Corneal Ulcer,5
Acute Non-Compressive Nucleus Pulposus Extrusion,5
Poor blood circulation,5
Punctum lacrimale,5
Flail Chest,5
Primary Pulmonary Tumor,5
Steroid-Responsive Meningitis Arteritis,5
Leiomyoma,5
Bacterial and Mycotoxin Poisoning,5
Histiocytosis,5
Tracheal Obstruction,5
Gastrointestinal Lymphoma,5
Parasitic Granuloma,5
Lacrimal Gland Cyst,5
Brain Disorders,5
Dryness and Heat Stagnation in the Lung,5
Rhinomycosis,5
Preputial Tumor,5
Fibrous Reactive Enteritis,5
Occlusal mucosal hyperplasia,5
OSA (Obstructive Sleep Apnea),5
Skin Tag,5
Nephrotic Syndrome with Protein Losing,5
Bi Syndrome,5
Mucocutaneous Cutaneous Lupus Erythematosus (MCLE),5
Intersex,5
Non-purulent Subcutaneous Swelling,5
Phlegm stagnation and toxin accumulation,5
Incisor Malocclusion/Overgrown Incisors (Rodentia),5
Medial Canthus Pouch Syndrome,5
Fracture of the Ilium Body,5
Tibial fascia tensor muscle injury,5
Eosinophilic Conjunctivitis,5
Salivary Gland Stones (Sialolithiasis),5
Ischemic Cerebellar Infarction,5
Mandibular Condylar Fracture,5
Primary Brain Tumor,5
Intestinal Spasm,5
Aphakia,5
Cholangitis Hepatitis Syndrome,5
Scrub Typhus,5
Spleen and Kidney Yang Deficiency,5
Damp-heat in the gastrointestinal tract,5
Small Intestinal Tumors,5
Rickettsiosis,5
Fly-bite Dermatitis,5
Nonspecific Cardiomyopathy,5
Hepatocellular Carcinoma,5
Subconjunctival Fat Prolapse,5
Tooth Wear (Normal),5
Excessive Heat in the Stomach,5
Chinchilla Hair Ring,5
Salt Poisoning,5
Seizure Under Investigation,5
Spleen Qi Deficiency and Collapse,5
"Brittle Skin Disease (Skin Fragility, Skin Weakness, Skin Paralysis, Ehlers-Danlos Syndrome)",5
Tricuspid regurgitation,5
Testicular and Epididymal Diseases,5
Bumblebee Mandrill Toxin Poisoning (Large Tiger Head Wasp),5
Hippocampal Necrosis,5
Lung and Spleen Qi Deficiency,5
Epidural Hematoma,5
Oral Melanoma,5
Fracture of the Coccyx,5
Masticatory Myositis,5
Cardiac Yang Collapse,5
Inward displacement of the epiglottic cartilage,5
Ventricular Fibrillation,5
Intestinal Excessive Heat,4
Primary Cerebellar Tumor,4
Ocular Palpebral Diseases,4
Salivary Gland Tumors,4
Lincomycin Drug Poisoning,4
Vitamin D Deficiency,4
Exocrine Pancreatic Diseases,4
Epithelioid Mesothelioma,4
Oral Plasma Cell Tumor,4
Paraprostatic Cyst,4
Oligodontia,4
Ethanol Poisoning,4
Avulsion of the origin of the extensor digitorum longus tendon,4
Congenital Eyelid Coloboma,4
Canine Multifocal Retinopathy (CMR),4
Dry Socket/Alveolar Osteitis,4
Blood Feather Damage,4
Avulsion of the Extensor Digitorum Longus Tendon Origin,4
Stasis and turbidity obstruction,4
Malignant Glaucoma,4
Anismus,4
Necrotizing Granulomatous Scleritis,4
Proximal Humeral Metaphyseal Fracture,4
Hepato-gastric Yin Deficiency,4
Gastrointestinal Stromal Tumor (GIST),4
Diffuse Idiopathic Skeletal Hyperostosis (DISH),4
Hyperkalemic Periodic Paralysis/Paralysis,4
Thoracic Wall Penetration Injury,4
Excess Estrogen,4
Yin Injury and Stomach Failure,4
Sunstroke,4
Eyelid Defect,4
Evan's Syndrome,4
Ear cartilage inflammation,4
Psychogenic Self-induced Hair Loss,4
Peripheral Odontogenic Fibroma,4
Tracheal Granuloma,4
Thoracic vertebral fracture,4
Beak Disorders,4
Lymphorrhagia,4
Sinus Bradycardia,4
Blood Stasis Obstructing the Collaterals,4
Congenital Absence/Hypoplasia of the Urethra,4
Lead Poisoning,4
Abnormal medial canthal skin (entropion of the medial canthus),4
Liver Blood Deficiency,4
Immune-Mediated Hemolytic Anemia (IMHA),4
Muscle Strain of the Tailbone Region,4
Ulcerative Lymphangitis,4
Extracular Myositis,4
Simple Crown-Root Fracture,4
Squamous Metaplasia of the Prostate,4
Renal Tubular Acidosis (RTA),4
Nutritional Metabolic Cataract,4
Non-erosive polyarthritis,4
Vomiting of Undetermined Origin,4
Carbon Monoxide Poisoning,4
Cat Vitamin A Poisoning,4
Structural Epilepsy,4
Immunologically Mediated Conjunctivitis,4
Kidney Essence is Unstable,4
Fibrous Vitreoretinal Adhesion,4
Damp-heat descending,4
TCC (Technical Cooperation Committee),4
Class II Malocclusion,4
Continuous Administration of Blood and Immune System Medications,4
Ventricular Autonomic Rhythm,4
Meniscus Injury,4
Auricular Chondritis,4
Limb Osteosarcoma,4
Liver Meridian Stagnation Heat,4
Osteochondritis,4
Methemoglobinemia,4
Hepatic Portal Venous Shunt (Acquired),4
Proliferative Retinopathy,4
Malignant Melanoma,4
Triceps Tendon Avulsion,4
Chicken Claudication,4
Uremic Stomatitis,4
Hypoxia of the Brain,4
Trichomegaly,4
Gastric Adenocarcinoma,4
Gastrointestinal System Mastocytoma,4
Arsenic Poisoning,4
Injury from Improper Diet leading to Diarrhea,4
Nasal Speculum Tumor,4
Extraskeletal Osteosarcoma,4
Follicular retention,4
Respiratory Sinus Arrhythmia,4
Flaccidity Syndrome,4
Idiopathic Immune-Mediated Non-Erosive Polyarthritis,4
Nephrotic Syndrome with Proteinuria,4
Biliary Tract Cancer,4
Accumulated Heat in the Spleen and Stomach,4
Mediastinal Diseases,4
Nephrotic Syndrome with Protein-Losing Nephropathy,4
Quadrigeminal Cyst,4
Colorectal Leiomyoma,4
Horseshoe Nail Injury,4
Copper Storage Hepatopathy,3
Flexor tendon contracture,3
Wooden Keratitis,3
Testicular Torsion,3
Lock anus,3
Acute Non-Compressive Nucleus Pulposus Herniation,3
Day Blindness,3
